cell_type,cluster,nTPM
Naive CD4 T-cell,T-cells,0.0
Memory CD8 T-cell,T-cells,0.0
Naive CD8 T-cell,T-cells,0.0
Memory B-cell,B-cells,0.0
Naive B-cell,B-cells,0.0
Plasmacytoid DC,Dendritic cells,0.0
Myeloid DC,Dendritic cells,0.0
NK-cell,NK-cells,0.0
Vd2 gdTCR,T-cells,0.0
Memory CD4 T-cell TFH,T-cells,0.0
Memory CD4 T-cell Th17,T-cells,0.0
Memory CD4 T-cell Th1\/Th17,T-cells,0.0
Non-Vd2 gdTCR,T-cells,0.0
Memory CD4 T-cell Th1,T-cells,0.0
Terminal effector memory CD4 T-cell,T-cells,0.0
Central memory CD8 T-cell,T-cells,0.0
Effector memory CD8 T-cell,T-cells,0.0
Terminal effector memory CD8 T-cell,T-cells,0.0
Switched memory B-cell,B-cells,0.0
Plasmablast,B-cells,0.0
Exhausted memory B-cell,B-cells,0.0
Progenitor cell,Progenitors,0.0
Naive CD4 T-cell activated,T-cells,0.0
Naive CD8 T-cell activated,T-cells,0.0
Memory T-reg,T-cells,0.0
Naive T-reg,T-cells,0.0
Erythroid cells,Blood and immune cells,-0.018
Gastric mucous cells,Glandular epithelial cells,-0.018
Breast myoepithelial cells,Specialized epithelial cells,-0.023
Intercalated cells,Glandular epithelial cells,-0.024
Parafollicular cells,Endocrine cells,-0.039
Skeletal myocytes,Muscle cells,-0.041
Adrenal cortex cells,Glandular epithelial cells,-0.043
Colon enterocytes,Glandular epithelial cells,-0.058
NK-cells (Spleen),Blood and immune cells,-0.083
Proximal tubular cells,Glandular epithelial cells,-0.084
Cardiomyocytes,Muscle cells,-0.103
NK-cells (Liver),Blood and immune cells,-0.104
Gonadotropes,Glandular epithelial cells,-0.110
Adipocytes (Visceral),Mesenchymal cells,-0.125
Prostate glandular cells,Glandular epithelial cells,-0.127
Mitotic cells (Lung),Stem and proliferating cells,-0.128
Breast glandular cells,Glandular epithelial cells,-0.130
Mitotic cells (Spleen),Stem and proliferating cells,-0.137
Thyrotropes,Glandular epithelial cells,-0.152
Mesothelial cells,Specialized epithelial cells,-0.174
Spermatocytes,Germ cells,-0.176
Late spermatids,Germ cells,-0.179
Melanocytes,Pigment cells,-0.188
Somatotropes,Glandular epithelial cells,-0.206
Adipocytes (Subcutaneous),Mesenchymal cells,-0.249
Breast glandular cells (progenitors),Glandular epithelial cells,-0.255
Parietal cells,Glandular epithelial cells,-0.262
Alveolar cells type 2,Specialized epithelial cells,-0.274
Corticotropes,Glandular epithelial cells,-0.307
Chief cells,Glandular epithelial cells,-0.320
Keratinocyte (granular),Squamous epithelial cells,-0.346
Early spermatids,Germ cells,-0.370
Lactotropes,Glandular epithelial cells,-0.435
Keratinocyte (other),Squamous epithelial cells,-0.475
Exocrine glandular cells,Glandular epithelial cells,-0.516
